Te_Subseus,Entitat,Titularitat,Tipus_Equipament,Id_Seu_Principal,Es_subseu_de,Notes_Equipament,Nom_Districte,Id_Equipament,Es_seu_principal,Nom_Barri,Codi_Districte,Nom_Equipament,Codi_Barri,Latitud,_id,Longitud
NO,Fundació Julio Muñoz i Ramonet. Ajuntament de Barcelona,Ajuntament de Barcelona,Espais d'interès patrimonial,,,,Sarrià-Sant Gervasi,494,1,Sant Gervasi - Galvany,5,Fundació Julio Muñoz Ramonet,26,41.39656898913028,188,2.147035912539778
NO,Fundació Privada Josep I. Suñol Soler,Titularitat privada,Museus i col·leccions,,,,Les Corts,40,1,la Maternitat i Sant Ramon,4,Fundació Suñol,20,41.3826167,189,2.1262746
NO,Garage 442,Titularitat privada,Sales de música en viu,,,,Eixample,483,1,la Dreta de l'Eixample,2,Garage 442,7,41.39727,190,2.16072
NO,Gatsby,Titularitat privada,Sales de música en viu,,,,Sarrià-Sant Gervasi,484,1,Sant Gervasi - Galvany,5,Gatsby,26,41.39637,191,2.15142
NO,Edificios y Espectáculos. Grup Balañá,Titularitat privada,Cinemes,,,,Sant Martí,349,1,el Parc i la Llacuna del Poblenou,10,Glòries Multicines,66,41.404944395,192,2.192504086
NO,Magandango,Titularitat privada,Sales d'arts escèniques,,,,Gràcia,136,1,la Vila de Gràcia,6,Golem'S,31,41.406091398,193,2.161404860
NO,Edificios y Espectáculos. Grup Balañá,Titularitat privada,Cinemes,,,,Sarrià-Sant Gervasi,350,1,les Tres Torres,5,Gran Sarrià Multicinemes,24,41.393832748,194,2.133194754
NO,Consorci del Gran Teatre del Liceu,Consorci o fundació amb presència administracions públiques,Grans auditoris,,,,Ciutat Vella,191,1,el Raval,1,Gran Teatre del Liceu,1,41.380115249,195,2.173329003
NO,Consorci Mercat de les Flors,Ajuntament de Barcelona,Fàbriques de Creació,,,,Sants-Montjuïc,241,1,la Marina de Port,3,Graner,13,41.361492275,196,2.135956703
NO,Guzzo,Titularitat privada,Sales de música en viu,,,,Ciutat Vella,485,1,"Sant Pere, Santa Caterina i la Ribera",1,Guzzo,4,41.38532,197,2.18368
NO,Assoc. d'Artistes Visuals de Catalunya (AAVC),Ajuntament de Barcelona,Fàbriques de Creació,,,,Sant Martí,305,1,Provençals del Poblenou,10,Hangar,71,41.407975,198,2.198792
NO,Sergio Daniel Negro Speroni,Titularitat privada,Sales de música en viu,,,,Ciutat Vella,169,1,el Barri Gòtic,1,Harlem Jazz Club,2,41.381142750,199,2.178407934
NO,Hemp Museums BV Sucursal Espanya,Titularitat privada,Museus i col·leccions,,,,Ciutat Vella,229,1,el Barri Gòtic,1,Hash Marihuana Cáñamo & Hemp Museum,2,41.380783393,200,2.180139311
NO,TITUS ANDRONIC SL,Titularitat privada,Sales d'arts escèniques,,,,Sants-Montjuïc,496,1,Sants - Badal,3,Heartbreak Hotel,17,41.373158866065175,201,2.128854605845001
NO,Heliogàbal,Titularitat privada,Sales de música en viu,,,El 2023 aquest espai va obtenir l'acreditació d'espai de Cultura Viva.,Gràcia,170,1,la Vila de Gràcia,6,Heliogàbal,31,41.40352,202,2.16018
NO,Layers of reality,Titularitat privada,Centres d'exposicions,,,,Sant Martí,474,1,el Poblenou,10,Ideal - Centre d'Arts Digitals,68,41.39795,203,2.20267
NO,PELAIMAS. Grup Mas i Mas,Titularitat privada,Sales de música en viu,,,,Ciutat Vella,181,1,el Barri Gòtic,1,Jamboree,2,41.379703771,204,2.175268003
NO,Taller de Músics,Titularitat privada,Sales de música en viu,,,,Ciutat Vella,171,1,el Raval,1,Jazz Sí Club,1,41.379806535,205,2.164072884
NO,Jove Teatre Regina,Titularitat privada,Sales d'arts escèniques,,,,Gràcia,126,1,la Vila de Gràcia,6,Jove Teatre Regina,31,41.396845566,206,2.156149548
NO,Fundació MAPFRE,Titularitat privada,Centres d'exposicions,,,,Sant Martí,456,1,la Vila Olímpica del Poblenou,10,KBr Fundación MAPFRE,67,41.388415,207,2.1960494
