Codi_Barri,Nom_Barri,Id_Equipament,Nom_Equipament,Tipus_Equipament
60,Sant Andreu,295,Centre Cívic Sant Andreu,Centres cívics
72,Sant Martí de Provençals,300,Centre Cívic Sant Martí,Centres cívics
23,Sarrià,277,Centre Cívic Sarrià,Centres cívics
38,la Teixonera,285,Centre Cívic Teixonera,Centres cívics
19,les Corts,270,Centre Cívic Tomasa Cuevas - Les Corts,Centres cívics
44,Vilapicina i la Torre Llobeta,289,Centre Cívic Torre Llobeta,Centres cívics
57,la Trinitat Vella,296,Centre Cívic Trinitat Vella,Centres cívics
9,la Nova Esquerra de l'Eixample,260,Centre Cívic Urgell,Centres cívics
22,"Vallvidrera, el Tibidabo i les Planes",278,Centre Cívic Vallvidrera Vázquez Montalbán,Centres cívics
2,el Barri Gòtic,425,Reial Cercle Artístic,Ateneus
25,Sant Gervasi - la Bonanova,279,Centre Cívic Vil·la Florida,Centres cívics
27,el Putxet i el Farró,447,Centre Cívic Vil·la Urània,Centres cívics
55,Ciutat Meridiana,290,Centre Cívic Zona Nord,Centres cívics
7,la Dreta de l'Eixample,449,Centre Comarcal Lleidatà,Ateneus
11,el Poble Sec,267,Centre Cultural Albareda,Centres cívics
60,Sant Andreu,438,Centre Cultural els Catalanistes,Ateneus
51,Verdun,428,Centre Cultural Els Propis,Ateneus
65,el Clot,301,Centre Cultural la Farinera del Clot,Centres cívics
23,Sarrià,415,Centre Cultural Sant Vicenç de Sarrià,Ateneus
68,el Poblenou,461,Centre d'Imatgeria Festiva de Sant Martí - Can Sal,Cases de la Festa
1,el Raval,57,Centre de Cultura Contemporània de Barcelona. CCCB,Centres d'exposicions
60,Sant Andreu,460,Centre de Cultura Popular de Sant Andreu,Cases de la Festa
11,el Poble Sec,250,Centre de Doc. i Museu de les Arts Escèniques,Arxius i biblioteques patrimonials
68,el Poblenou,416,Centre Moral i Cultural del Poblenou,Ateneus
31,la Vila de Gràcia,417,Centre Moral i Instructiu de Gràcia,Ateneus
4,"Sant Pere, Santa Caterina i la Ribera",418,Centre Sant Pere 1892,Ateneus
31,la Vila de Gràcia,419,Cercle Catòlic de Gràcia,Ateneus
2,el Barri Gòtic,339,Cinema Maldà,Cinemes
7,la Dreta de l'Eixample,340,Cinemes Girona,Cinemes
26,Sant Gervasi - Galvany,343,Cinesa Diagonal,Cinemes
69,Diagonal Mar i el Front Marítim del Poblenou,344,Cinesa Diagonal Mar,Cinemes
59,el Bon Pastor,342,Cinesa La Maquinista,Cinemes
45,Porta,471,Cinesa Som Multiespai,Cinemes
7,la Dreta de l'Eixample,123,Coliseum,Sales d'arts escèniques
25,Sant Gervasi - la Bonanova,47,CosmoCaixa,Museus i col·leccions
11,el Poble Sec,457,Dau al Sec,Sales d'arts escèniques
60,Sant Andreu,200,DHub. Casa Bloc,Centres d'exposicions
