addresses_neighborhood_id,addresses_neighborhood_name,name,created,modified
1,el Raval,Casa - Fàbrica Erasme de Gònima,1996-03-07T00:00:00,2022-09-17T05:19:25.047448
21,Pedralbes,Bibiblioteca Rector Gabriel Ferraté,1996-12-20T00:00:00,2024-06-20T11:37:38.480821
27,el Putxet i el Farró,Jardins d'Elvira Farreras Valentí,2013-06-06T13:21:30,2024-09-23T14:22:25.945565
28,Vallcarca i els Penitents,Viaducte de Vallcarca,2015-05-19T14:11:52,2021-09-09T02:14:16.831784
4,"Sant Pere, Santa Caterina i la Ribera",Fossar de les Moreres,2015-05-19T14:42:46,2022-09-17T08:19:08.660488
72,Sant Martí de Provençals,Conjunt de Sant Martí de Provençals,2015-07-02T13:24:23,2021-09-09T02:14:58.635453
41,la Vall d'Hebron,Residència Salesiana Martí Codolar,2015-10-08T13:48:14,2022-09-17T08:28:24.162083
2,el Barri Gòtic,Can Culleretes,2015-07-08T17:06:52,2021-09-09T02:15:29.757156
20,la Maternitat i Sant Ramon,La Diagonal,2015-07-09T10:25:22,2021-09-09T02:15:33.333952
60,Sant Andreu,Refugi Antiaeri de La Lira,2015-07-09T10:44:22,2022-09-17T08:22:46.954459
62,el Congrés i els Indians,Refugi Antiaeri 977 (Matanzas / Pinar del Río),2015-07-09T12:20:01,2022-09-17T08:22:48.034167
31,la Vila de Gràcia,Casa Feliu Iglesies,2017-02-06T13:59:20,2021-07-15T14:25:41.561658
32,el Camp d'en Grassot i Gràcia Nova,Casa Gustà,2017-02-07T09:30:15,2022-09-17T08:50:46.008388
31,la Vila de Gràcia,Casa Rubinat,2017-02-07T10:55:11,2022-09-17T08:50:52.610750
30,la Salut,Casa Tomàs Valls,2017-02-07T11:01:55,2022-09-17T08:50:53.934915
1,el Raval,El Campus Raval - UB,2015-11-10T09:21:37,2022-09-23T14:43:53.592959
37,el Carmel,Can Mora,2017-02-06T11:40:14,2022-09-17T08:50:24.289603
30,la Salut,Can Muntaner de Dalt,2017-02-06T11:51:12,2021-09-09T02:15:52.639978
31,la Vila de Gràcia,Can Trilla,2017-02-06T11:58:22,2022-09-17T08:50:25.470810
31,la Vila de Gràcia,Casa Elisa Bremon d'Espina,2017-02-06T13:29:30,2022-09-17T08:50:34.705469
32,el Camp d'en Grassot i Gràcia Nova,Casa Eloy Detouche,2017-02-06T13:32:58,2022-09-17T08:50:35.008932
1,el Raval,Eix Comercial del Raval,2005-11-17T13:13:13,2024-04-08T14:20:54.702010
