Codi_Barri,Nom_Barri,Any,Index_Gini
7,la Dreta de l'Eixample,2018,45.6
7,la Dreta de l'Eixample,2018,43.1
7,la Dreta de l'Eixample,2018,43.8
7,la Dreta de l'Eixample,2018,39.5
7,la Dreta de l'Eixample,2018,45.6
8,l'Antiga Esquerra de l'Eixample,2018,41.1
8,l'Antiga Esquerra de l'Eixample,2018,38.5
8,l'Antiga Esquerra de l'Eixample,2018,39.3
8,l'Antiga Esquerra de l'Eixample,2018,38.3
8,l'Antiga Esquerra de l'Eixample,2018,35.9
8,l'Antiga Esquerra de l'Eixample,2018,39.2
8,l'Antiga Esquerra de l'Eixample,2018,38.7
8,l'Antiga Esquerra de l'Eixample,2018,40.2
8,l'Antiga Esquerra de l'Eixample,2018,38.1
8,l'Antiga Esquerra de l'Eixample,2018,38.4
8,l'Antiga Esquerra de l'Eixample,2018,35.0
8,l'Antiga Esquerra de l'Eixample,2018,38.7
8,l'Antiga Esquerra de l'Eixample,2018,38.0
8,l'Antiga Esquerra de l'Eixample,2018,35.2
10,Sant Antoni,2018,35.1
8,l'Antiga Esquerra de l'Eixample,2018,36.9
8,l'Antiga Esquerra de l'Eixample,2018,37.8
8,l'Antiga Esquerra de l'Eixample,2018,33.7
8,l'Antiga Esquerra de l'Eixample,2018,38.8
8,l'Antiga Esquerra de l'Eixample,2018,37.0
8,l'Antiga Esquerra de l'Eixample,2018,36.5
8,l'Antiga Esquerra de l'Eixample,2018,35.0
8,l'Antiga Esquerra de l'Eixample,2018,37.3
8,l'Antiga Esquerra de l'Eixample,2018,37.9
8,l'Antiga Esquerra de l'Eixample,2018,34.1
8,l'Antiga Esquerra de l'Eixample,2018,36.6
8,l'Antiga Esquerra de l'Eixample,2018,36.7
9,la Nova Esquerra de l'Eixample,2018,36.2
9,la Nova Esquerra de l'Eixample,2018,38.5
9,la Nova Esquerra de l'Eixample,2018,32.1
9,la Nova Esquerra de l'Eixample,2018,35.4
9,la Nova Esquerra de l'Eixample,2018,33.7
9,la Nova Esquerra de l'Eixample,2018,36.2
9,la Nova Esquerra de l'Eixample,2018,31.4
9,la Nova Esquerra de l'Eixample,2018,33.1
9,la Nova Esquerra de l'Eixample,2018,36.5
9,la Nova Esquerra de l'Eixample,2018,30.1
9,la Nova Esquerra de l'Eixample,2018,34.2
9,la Nova Esquerra de l'Eixample,2018,35.9
9,la Nova Esquerra de l'Eixample,2018,35.8
9,la Nova Esquerra de l'Eixample,2018,33.7
9,la Nova Esquerra de l'Eixample,2018,30.3
9,la Nova Esquerra de l'Eixample,2018,35.7
9,la Nova Esquerra de l'Eixample,2018,30.7
9,la Nova Esquerra de l'Eixample,2018,35.3
9,la Nova Esquerra de l'Eixample,2018,34.3
9,la Nova Esquerra de l'Eixample,2018,35.7
9,la Nova Esquerra de l'Eixample,2018,34.1
10,Sant Antoni,2018,34.2
9,la Nova Esquerra de l'Eixample,2018,35.4
9,la Nova Esquerra de l'Eixample,2018,34.3
9,la Nova Esquerra de l'Eixample,2018,26.8
9,la Nova Esquerra de l'Eixample,2018,33.4
9,la Nova Esquerra de l'Eixample,2018,33.1
9,la Nova Esquerra de l'Eixample,2018,32.9
9,la Nova Esquerra de l'Eixample,2018,35.9
9,la Nova Esquerra de l'Eixample,2018,33.9
9,la Nova Esquerra de l'Eixample,2018,35.0
9,la Nova Esquerra de l'Eixample,2018,32.2
9,la Nova Esquerra de l'Eixample,2018,37.1
9,la Nova Esquerra de l'Eixample,2018,37.0
9,la Nova Esquerra de l'Eixample,2018,36.1
9,la Nova Esquerra de l'Eixample,2018,35.8
9,la Nova Esquerra de l'Eixample,2018,40.7
9,la Nova Esquerra de l'Eixample,2018,37.4
9,la Nova Esquerra de l'Eixample,2018,34.4
9,la Nova Esquerra de l'Eixample,2018,34.6
9,la Nova Esquerra de l'Eixample,2018,39.1
10,Sant Antoni,2018,36.2
10,Sant Antoni,2018,33.7
10,Sant Antoni,2018,32.9
10,Sant Antoni,2018,31.3
10,Sant Antoni,2018,36.6
10,Sant Antoni,2018,31.8
10,Sant Antoni,2018,32.5
10,Sant Antoni,2018,33.8
10,Sant Antoni,2018,35.1
10,Sant Antoni,2018,36.8
10,Sant Antoni,2018,35.7
10,Sant Antoni,2018,33.5
10,Sant Antoni,2018,34.2
10,Sant Antoni,2018,34.4
10,Sant Antoni,2018,37.5
10,Sant Antoni,2018,36.1
10,Sant Antoni,2018,35.1
10,Sant Antoni,2018,32.4
10,Sant Antoni,2018,31.9
10,Sant Antoni,2018,35.4
10,Sant Antoni,2018,33.3
10,Sant Antoni,2018,33.6
11,el Poble Sec,2018,32.8
11,el Poble Sec,2018,32.1
11,el Poble Sec,2018,35.2
11,el Poble Sec,2018,33.7
11,el Poble Sec,2018,32.6
11,el Poble Sec,2018,33.8
11,el Poble Sec,2018,34.3
11,el Poble Sec,2018,35.5
11,el Poble Sec,2018,32.5
11,el Poble Sec,2018,35.4
11,el Poble Sec,2018,35.0
11,el Poble Sec,2018,35.7
11,el Poble Sec,2018,34.0
11,el Poble Sec,2018,33.6
11,el Poble Sec,2018,35.5
11,el Poble Sec,2018,36.9
11,el Poble Sec,2018,37.6
11,el Poble Sec,2018,33.6
11,el Poble Sec,2018,32.6
11,el Poble Sec,2018,31.2
11,el Poble Sec,2018,30.2
11,el Poble Sec,2018,34.9
11,el Poble Sec,2018,33.8
11,el Poble Sec,2018,36.0
12,la Marina del Prat Vermell,2018,31.1
13,la Marina de Port,2018,24.9
13,la Marina de Port,2018,28.8
13,la Marina de Port,2018,34.1
13,la Marina de Port,2018,25.7
13,la Marina de Port,2018,28.4
13,la Marina de Port,2018,27.2
13,la Marina de Port,2018,32.2
13,la Marina de Port,2018,30.7
13,la Marina de Port,2018,27.6
13,la Marina de Port,2018,28.0
13,la Marina de Port,2018,28.7
13,la Marina de Port,2018,27.1
13,la Marina de Port,2018,29.8
13,la Marina de Port,2018,30.5
14,la Font de la Guatlla,2018,30.3
14,la Font de la Guatlla,2018,29.8
14,la Font de la Guatlla,2018,33.6
14,la Font de la Guatlla,2018,31.0
14,la Font de la Guatlla,2018,36.1
14,la Font de la Guatlla,2018,29.8
14,la Font de la Guatlla,2018,31.0
15,Hostafrancs,2018,33.7
15,Hostafrancs,2018,31.2
15,Hostafrancs,2018,37.3
15,Hostafrancs,2018,32.4
15,Hostafrancs,2018,36.8
15,Hostafrancs,2018,35.1
15,Hostafrancs,2018,33.6
15,Hostafrancs,2018,33.2
15,Hostafrancs,2018,32.9
15,Hostafrancs,2018,32.0
16,la Bordeta,2018,30.4
16,la Bordeta,2018,32.3
16,la Bordeta,2018,30.2
16,la Bordeta,2018,29.8
16,la Bordeta,2018,30.8
16,la Bordeta,2018,29.3
16,la Bordeta,2018,30.0
16,la Bordeta,2018,29.8
16,la Bordeta,2018,26.6
16,la Bordeta,2018,29.8
16,la Bordeta,2018,30.1
16,la Bordeta,2018,29.8
16,la Bordeta,2018,29.1
17,Sants - Badal,2018,30.1
17,Sants - Badal,2018,33.5
17,Sants - Badal,2018,30.7
17,Sants - Badal,2018,31.8
17,Sants - Badal,2018,32.2
17,Sants - Badal,2018,33.0
17,Sants - Badal,2018,30.2
17,Sants - Badal,2018,30.8
17,Sants - Badal,2018,32.6
17,Sants - Badal,2018,34.8
17,Sants - Badal,2018,34.3
17,Sants - Badal,2018,32.6
17,Sants - Badal,2018,35.4
17,Sants - Badal,2018,31.7
17,Sants - Badal,2018,29.6
17,Sants - Badal,2018,32.5
18,Sants,2018,29.6
18,Sants,2018,32.4
18,Sants,2018,30.0
18,Sants,2018,29.7
18,Sants,2018,31.7
18,Sants,2018,33.2
18,Sants,2018,34.3
18,Sants,2018,32.3
18,Sants,2018,30.5
18,Sants,2018,31.9
18,Sants,2018,35.9
18,Sants,2018,33.8
18,Sants,2018,34.1
18,Sants,2018,33.5
18,Sants,2018,33.2
18,Sants,2018,30.8
18,Sants,2018,31.0
18,Sants,2018,28.5
18,Sants,2018,33.5
18,Sants,2018,30.6
18,Sants,2018,32.2
18,Sants,2018,32.0
18,Sants,2018,33.4
18,Sants,2018,31.0
18,Sants,2018,32.2
18,Sants,2018,31.2
18,Sants,2018,32.6
18,Sants,2018,36.6
18,Sants,2018,32.2
13,la Marina de Port,2018,29.0
13,la Marina de Port,2018,29.6
13,la Marina de Port,2018,29.6
19,les Corts,2018,35.5
19,les Corts,2018,32.6
19,les Corts,2018,30.5
19,les Corts,2018,34.2
19,les Corts,2018,30.5
19,les Corts,2018,32.4
19,les Corts,2018,31.9
19,les Corts,2018,34.7
19,les Corts,2018,34.2
19,les Corts,2018,33.5
19,les Corts,2018,33.3
19,les Corts,2018,30.0
19,les Corts,2018,34.4
19,les Corts,2018,40.0
19,les Corts,2018,32.3
19,les Corts,2018,32.7
19,les Corts,2018,33.2
19,les Corts,2018,34.9
19,les Corts,2018,41.3
19,les Corts,2018,38.0
19,les Corts,2018,36.1
19,les Corts,2018,35.5
19,les Corts,2018,43.4
19,les Corts,2018,36.6
19,les Corts,2018,35.1
19,les Corts,2018,34.8
19,les Corts,2018,39.3
19,les Corts,2018,31.1
19,les Corts,2018,34.8
19,les Corts,2018,33.6
19,les Corts,2018,36.0
19,les Corts,2018,28.1
19,les Corts,2018,32.2
19,les Corts,2018,29.4
19,les Corts,2018,29.2
20,la Maternitat i Sant Ramon,2018,33.1
20,la Maternitat i Sant Ramon,2018,33.2
20,la Maternitat i Sant Ramon,2018,31.0
20,la Maternitat i Sant Ramon,2018,33.1
20,la Maternitat i Sant Ramon,2018,32.2
20,la Maternitat i Sant Ramon,2018,32.1
20,la Maternitat i Sant Ramon,2018,29.8
20,la Maternitat i Sant Ramon,2018,29.1
20,la Maternitat i Sant Ramon,2018,31.3
20,la Maternitat i Sant Ramon,2018,29.7
20,la Maternitat i Sant Ramon,2018,32.0
20,la Maternitat i Sant Ramon,2018,33.5
20,la Maternitat i Sant Ramon,2018,32.2
20,la Maternitat i Sant Ramon,2018,36.6
21,Pedralbes,2018,41.7
21,Pedralbes,2018,36.9
21,Pedralbes,2018,40.8
21,Pedralbes,2018,44.7
21,Pedralbes,2018,38.8
21,Pedralbes,2018,45.6
21,Pedralbes,2018,45.6
20,la Maternitat i Sant Ramon,2018,33.3
22,"Vallvidrera, el Tibidabo i les Planes",2018,33.9
22,"Vallvidrera, el Tibidabo i les Planes",2018,40.9
22,"Vallvidrera, el Tibidabo i les Planes",2018,40.5
23,Sarrià,2018,45.6
23,Sarrià,2018,45.6
23,Sarrià,2018,45.6
23,Sarrià,2018,45.6
23,Sarrià,2018,45.6
23,Sarrià,2018,39.3
23,Sarrià,2018,36.3
23,Sarrià,2018,36.8
23,Sarrià,2018,38.9
23,Sarrià,2018,36.4
23,Sarrià,2018,39.8
23,Sarrià,2018,38.3
23,Sarrià,2018,35.3
23,Sarrià,2018,40.8
23,Sarrià,2018,33.5
23,Sarrià,2018,37.3
24,les Tres Torres,2018,38.7
24,les Tres Torres,2018,42.7
24,les Tres Torres,2018,44.6
24,les Tres Torres,2018,35.2
24,les Tres Torres,2018,40.5
24,les Tres Torres,2018,42.1
24,les Tres Torres,2018,42.9
24,les Tres Torres,2018,43.3
24,les Tres Torres,2018,37.6
24,les Tres Torres,2018,45.6
24,les Tres Torres,2018,39.9
25,Sant Gervasi - la Bonanova,2018,45.6
25,Sant Gervasi - la Bonanova,2018,45.6
25,Sant Gervasi - la Bonanova,2018,45.6
25,Sant Gervasi - la Bonanova,2018,39.9
25,Sant Gervasi - la Bonanova,2018,41.1
