Espai,Any,Assistents
Diversos espais de la ciutat,2021,1565.0
CCCB,2021,14643.0
Diversos espais de la ciutat,2021,15450.0
Cinemes Girona,2021,2500.0
Fabra i Coats,2021,17000.0
Plaça del Nord / LLuïsos de Gràcia,2021,250.0
CCCB i Cinemes Aribau,2021,2318.0
Diversos espais de la ciutat,2021,15000.0
CCCB,2021,500.0
Finca Pedro Pons,2021,600.0
Paranimf Universitat de Barcelona,2021,150.0
CC Pati Llimona,2021,80.0
Centre Cívic Can Felipa,2021,1000.0
Sala Beckett,2021,382.0
Sala Beckett,2021,540.0
Espais Joves de la ciutat,2021,550.0
Parc del Fòrum,2021,45630.0
SAT!,2021,480.0
Pati de la Seu del Districte de Nou Barris,2021,2190.0
Filmoteca de Catalunya,2021,2200.0
Sala Barts,2021,2000.0
"Mercat de les Flors, SAT! Sant Andreu Teatre i Fàbrica de Creació Fabra i Coats",2021,7698.0
Centre Artesà Tradicionàrius,2021,7000.0
Cinemes Aribau,2021,24652.0
CaixaForum,2021,3000.0
Església de Santa Maria del Pi,2021,1000.0
"Plaça de les Dones del 36, Gràcia",2021,780.0
CCCB,2021,781.0
Diversos espais de la ciutat,2021,1650.0
El Castell de Montjuïc,2021,2300.0
MUHBA Oliva Artés,2021,100.0
Diversos espais de la ciutat,2021,1084.0
"Centres cívics, diversos interiors d'illa, plaça Fort Pienc i Mercat de Sant Antoni",2021,1699.0
Museu del Disseny,2021,10000.0
Diversos espais de la ciutat,2021,107888.0
Sala Barts,2021,45000.0
Poble Espanyol,2021,10130.0
Diversos espais de la ciutat,2021,5199.0
Cinemes Girona,2021,834.0
Fabra i Coats,2021,325.0
CCCB,2021,3638.0
CCCB,2021,10500.0
Fabrar i Coats,2021,3021.0
Cinemes Girona,2021,1200.0
Auditori Meier del MACBA,2021,280.0
Diversos espais de la ciutat,2021,1200.0
Fabra i Coats,2021,7000.0
Diversos espais de la ciutat,2021,117200.0
Teatre dels Lluïsos de Gràcia,2021,205.0
Poble Espanyol,2021,5153.0
Fira de Barcelona,2021,122000.0
CCCB,2021,305.0
Centre cívic Cotxeres de Sants,2021,400.0
"Palau de la Música, Jamboree Jazz club i Tarantos",2021,6407.0
CCCB,2021,245.0
Diversos espais de la ciutat,2021,52568.0
Espai Jove les Basses,2021,140.0
Fabra i Coats,2021,3100.0
CCCB i biblioteques Poblenou-Manuel Arranz i Nou Barris,2021,3800.0
Filmoteca de Catalunya i La Panafricana,2021,1400.0
Filmoteca de Catalunya,2021,4500.0
"Pl. Sant Felip Neri, CC Trinitat Vella i Cinemes Girona.",2021,200.0
Institut Francès de Barcelona,2021,4646.0
Filmoteca de Catalunya,2021,7109.0
Castell de Montjuïc,2021,572.0
Diversos espais de la ciutat,2021,1013.0
Diversos espais de la ciutat,2021,3000.0
Castell de Montjuïc,2021,595.0
Poble Espanyol,2021,2099.0
Parc del Fòrum,2021,40000.0
Poble Espanyol,2021,9813.0
Cinema Maldà,2021,150.0
Utopia 126,2021,3000.0
En la xarxa de centres cívics i a l'estiu llocs exteriors propers als centres.,2021,1569.0
CCCB,2021,250.0
Centre LGBTI de Barcelona,2021,300.0
Teatre Tantarantana,2021,1350.0
Castell de Montjuïc,2021,584.0
Castell de Montjuïc,2021,345.0
Diversos espais de la ciutat,2021,4270.0
Can Felipa,2021,30.0
Castell de Montjuïc,2021,3320.0
Fossat de Santa Eulàlia - Castell de Montjuïc,2021,28000.0
Castell de Montjuïc,2021,4739.0
CCCB,2021,6500.0
Moll de la Fusta,2021,12000.0
Anella Olimpica,2021,19394.0
Cinemes Girona,2021,3500.0
Fira de Barcelona. Pevelló Italià,2021,10000.0
CCCB i CC Pati Llimona,2021,40.0
Castell de Montjuïc,2021,460.0
Poble Espanyol,2021,1716.0
Diversos espais de la muntanya de Montjuïc,2021,37000.0
A la Biblioteca Bonnemaison i al CC Convent de Sant Agustí,2021,100.0
Diversos espais de la ciutat i Online,2020,40299.0
Diversos espais de la ciutat i Online,2020,800.0
Castell de Montjuïc,2020,1050.0
Diversos espais de la ciutat i Online,2020,1900.0
Cinemes Girona i online,2020,1348.0
Diversos espais de la ciutat,2020,6400.0
Diversos espais de la ciutat i Online,2020,2592.0
21 centres cívics de la ciutat i Online,2020,13371.0
29 centres cívics de la ciutat,2020,5831.0
Biblioteca de Catalunya i Online,2020,60.0
Diversos espais de la ciutat i Online,2020,6000.0
Diversos espais de la ciutat i Online,2020,1877.0
Online,2020,30.0
Diversos espais de la ciutat,2020,12097.0
Online i Filmoteca de Catalunya,2020,246.0
Filmoteca de Catalunya,2020,1410.0
Diversos espais de la ciutat,2020,928.0
Diversos espais de la ciutat i Online,2020,5272.0
Diversos espais de la ciutat,2020,39156.0
Cinemes Girona i online,2020,300.0
Lluïsos de Gràcia i Online,2020,100.0
Diversos espais de la ciutat,2020,1880.0
Diversos espais de la ciutat i Online,2020,670.0
Jardins Edifici Històric i Online,2020,20.0
Diversos espais de la ciutat i Online,2020,2500.0
Ca La Dona i online,2020,250.0
"Espais Joves (EJ Boca Nord, EJ La Bàscula, EJ Garcilaso) i Online",2020,103.0
CaixaForum i Online,2020,646.0
Online,2020,1000.0
Filmoteca de Catalunya,2020,2000.0
Jardins de Joan Maragall i Park Güell,2020,2500.0
La Puntual,2020,920.0
Poble Espanyol de Barcelona,2020,1870.0
Diversos espais de la ciutat,2020,7500.0
Diversos espais de la ciutat i Online,2020,12423.0
Jardins Pedralbes,2020,20168.0
Fabra i Coats: Fàbrica de Creació I Online,2020,278.0
Castell de Montjuïc,2020,1800.0
Diversos espais de la ciutat,2020,5147.0
Diversos espais de la ciutat,2020,324.0
Diversos centres cívics de l'Eixample,2020,652.0
Antic Teatre (sala),2020,325.0
Diversos espais de la ciutat,2020,23371.0
Diversos espais de la ciutat i Online,2020,35888.0
Diversos espais de la ciutat i Online,2020,1274.0
Antic Teatre,2020,125.0
Centre Cívic Pati Llimona,2020,810.0
Arts Santa Mònica,2020,3974.0
Cinemes Girona i Online,2020,88.0
Auditori MACBA,2020,721.0
"Espai de carrer, al costat del Centre Civic. L'espai entre els edificis del CC i el continuo. Online",2020,156.0
Diversos espais de la ciutat i Online,2020,9020.0
"Fabra i Coats, Fàbrica de Creació i Online",2020,632.0
Diversos espais del Poblenou,2020,200000.0
Diversos espais de la ciutat i Online,2020,2000.0
Lluïsos de Gràcia,2020,104.0
Diversos espais de la ciutat,2020,28972.0
Centre Cultural la Farinera del Clot ,2020,300.0
Filmoteca de Catalunya i Online,2020,2331.0
Diversos espais de la ciutat,2020,190.0
Teatre del Raval,2020,478.0
Diversos espais de la ciutat i Online,2020,119.0
Diversos espais de la ciutat i Online,2020,305.0
CCCB i Online,2020,480.0
Diversos espais de la ciutat,2020,769.0
Diversos espais de la ciutat,2020,3000.0
Diversos espais de la ciutat,2020,800.0
Centre LGTBI Barcelona i online,2020,250.0
"Teatre Tantarantana, Escenari Joan Brossa",2020,700.0
Filmoteca de Catalunya i Online,2020,715.0
Sala Boveda i Sala Sant Jordi Club,2020,700.0
Castell de Montjuïc,2020,9000.0
Moll de la Fusta i online,2020,25000.0
Diversos espais de la ciutat,2020,513.0
PLAYGROUND. DISTRICTE DE SANT MARTÍ,2020,1100.0
Espacio 100-SIMON i Online,2020,800.0
Cinemes Girona i Euskal Etxea de Barcelona,2020,189.0
Diversos espais de la ciutat,2019,52140.0
Diversos espais de la ciutat,2019,1500.0
Cinemes Girona,2019,9728.0
Fabra i Coats: Fàbrica de Creació,2019,4000.0
CaixaForum Barcelona,2019,3300.0
Filmoteca de Catalunya,2019,534.0
Disseny HUB Barcelona,2019,240.0
Arts Santa Mònica,2019,2500.0
Diversos espais de la ciutat,2019,10000.0
Cinemes Girona ,2019,8374.0
