Codi_Dimensio,Desc_Dimensio,Codi_Valor,Desc_Valor_CA,Desc_Valor_EN
11,LLOC_NAIX_PAIS,10,Aràbia Saudí,Saudi Arabia
11,LLOC_NAIX_PAIS,11,Argentina,Argentina
11,LLOC_NAIX_PAIS,12,Armènia,Armenia
11,LLOC_NAIX_PAIS,13,Aruba,Aruba
11,LLOC_NAIX_PAIS,14,Austràlia,Australia
11,LLOC_NAIX_PAIS,15,Àustria,Austria
11,LLOC_NAIX_PAIS,16,Azerbaidjan,Azerbaijan
11,LLOC_NAIX_PAIS,17,"Bahames, les",Bahamas
11,LLOC_NAIX_PAIS,18,Bahrain,Bahrain
11,LLOC_NAIX_PAIS,19,Bangladesh,Bangladesh
11,LLOC_NAIX_PAIS,20,Barbados,Barbados
11,LLOC_NAIX_PAIS,21,Belarús,Belarus
11,LLOC_NAIX_PAIS,22,Bèlgica,Belgium
11,LLOC_NAIX_PAIS,23,Belize,Belize
11,LLOC_NAIX_PAIS,24,Benín,Benin
11,LLOC_NAIX_PAIS,25,Bermudes,Bermuda
11,LLOC_NAIX_PAIS,26,Bhutan,Bhutan
11,LLOC_NAIX_PAIS,27,Bolívia,Bolivia
11,LLOC_NAIX_PAIS,28,Bòsnia i Hercegovina,Bosnia and Herzegovina
11,LLOC_NAIX_PAIS,29,Botswana,Botswana
11,LLOC_NAIX_PAIS,30,Brasil,Brazil
11,LLOC_NAIX_PAIS,31,Brunei,Brunei
11,LLOC_NAIX_PAIS,32,Bulgària,Bulgaria
11,LLOC_NAIX_PAIS,33,Burkina Faso,Burkina Faso
11,LLOC_NAIX_PAIS,34,Burundi,Burundi
11,LLOC_NAIX_PAIS,35,Cambodja,Cambodia
11,LLOC_NAIX_PAIS,36,Camerun,Cameroon
11,LLOC_NAIX_PAIS,37,Canadà,Canada
11,LLOC_NAIX_PAIS,38,Cap Verd,Cabo Verde
11,LLOC_NAIX_PAIS,39,Colòmbia,Colombia
11,LLOC_NAIX_PAIS,40,"Comores, les",Comoros
11,LLOC_NAIX_PAIS,41,Congo,Congo Republic
11,LLOC_NAIX_PAIS,42,Corea del Nord,North Korea
11,LLOC_NAIX_PAIS,43,Corea del Sud,South Korea
11,LLOC_NAIX_PAIS,44,Costa d'Ivori,Ivory Coast
11,LLOC_NAIX_PAIS,45,Costa Rica,Costa Rica
11,LLOC_NAIX_PAIS,46,Croàcia,Croatia
11,LLOC_NAIX_PAIS,47,Cuba,Cuba
11,LLOC_NAIX_PAIS,48,Dinamarca,Denmark
11,LLOC_NAIX_PAIS,49,Djibouti,Djibouti
11,LLOC_NAIX_PAIS,50,Dominica,Dominica
11,LLOC_NAIX_PAIS,51,Egipte,Egypt
11,LLOC_NAIX_PAIS,52,El Salvador,El Salvador
11,LLOC_NAIX_PAIS,53,"Emirats Àrabs Units, els",United Arab Emirates
11,LLOC_NAIX_PAIS,54,Equador,Ecuador
11,LLOC_NAIX_PAIS,55,Eritrea,Eritrea
11,LLOC_NAIX_PAIS,56,Eslovàquia,Slovakia
11,LLOC_NAIX_PAIS,57,Eslovènia,Slovenia
11,LLOC_NAIX_PAIS,58,Espanya,Spain
11,LLOC_NAIX_PAIS,59,"Estats Units, els",United States
11,LLOC_NAIX_PAIS,60,Estònia,Estonia
11,LLOC_NAIX_PAIS,61,Eswatini,Eswatini
11,LLOC_NAIX_PAIS,62,Etiòpia,Ethiopia
11,LLOC_NAIX_PAIS,63,Fèroe,Faroe Islands
11,LLOC_NAIX_PAIS,64,Fiji,Fiji
11,LLOC_NAIX_PAIS,65,Filipines,Philippines
11,LLOC_NAIX_PAIS,66,Finlàndia,Finland
11,LLOC_NAIX_PAIS,67,França,France
11,LLOC_NAIX_PAIS,68,Gabon,Gabon
11,LLOC_NAIX_PAIS,69,Gàmbia,Gambia
11,LLOC_NAIX_PAIS,70,Geòrgia,Georgia
11,LLOC_NAIX_PAIS,71,Ghana,Ghana
11,LLOC_NAIX_PAIS,72,Gibraltar,Gibraltar
11,LLOC_NAIX_PAIS,73,Grècia,Greece
11,LLOC_NAIX_PAIS,74,Grenada,Grenada
11,LLOC_NAIX_PAIS,75,Groenlàndia,Greenland
11,LLOC_NAIX_PAIS,76,Guadalupe,Guadeloupe
11,LLOC_NAIX_PAIS,77,Guaiana Francesa,French Guiana
11,LLOC_NAIX_PAIS,78,Guam,Guam
11,LLOC_NAIX_PAIS,79,Guatemala,Guatemala
11,LLOC_NAIX_PAIS,80,Guernsey,Guernsey
11,LLOC_NAIX_PAIS,81,Guinea,Guinea
11,LLOC_NAIX_PAIS,82,Guinea Equatorial,Equatorial Guinea
