Codi_Barri,Nom_Barri,Any,Superfície (ha)
16,la Bordeta,2012,57.7
17,Sants - Badal,2012,41.1
18,Sants,2012,109.8
19,les Corts,2012,141.3
20,la Maternitat i Sant Ramon,2012,190.3
21,Pedralbes,2012,270.2
22,"Vallvidrera, el Tibidabo i les Planes",2012,1152.2
23,Sarrià,2012,304.2
24,les Tres Torres,2012,78.8
25,Sant Gervasi - la Bonanova,2012,223.5
26,Sant Gervasi - Galvany,2012,165.9
27,el Putxet i el Farró,2012,84.6
28,Vallcarca i els Penitents,2012,120.9
29,el Coll,2012,35.8
30,la Salut,2012,64.3
31,la Vila de Gràcia,2012,132.6
32,el Camp d'en Grassot i Gràcia Nova,2012,65.0
33,el Baix Guinardó,2012,56.0
34,Can Baró,2012,38.4
35,el Guinardó,2012,130.8
36,la Font d'en Fargues,2012,65.7
37,el Carmel,2012,94.2
38,la Teixonera,2012,33.7
39,Sant Genís dels Agudells,2012,171.6
40,Montbau,2012,204.7
41,la Vall d'Hebron,2012,73.6
42,la Clota,2012,17.8
43,Horta,2012,308.2
44,Vilapicina i la Torre Llobeta,2012,56.7
45,Porta,2012,84.1
46,el Turó de la Peira,2012,35.4
47,Can Peguera,2012,12.0
48,la Guineueta,2012,61.1
49,Canyelles,2012,79.3
50,les Roquetes,2012,64.2
51,Verdun,2012,23.7
52,la Prosperitat,2012,59.5
53,la Trinitat Nova,2012,56.0
54,Torre Baró,2012,176.8
55,Ciutat Meridiana,2012,35.5
56,Vallbona,2012,59.8
57,la Trinitat Vella,2012,81.0
58,Baró de Viver,2012,23.0
59,el Bon Pastor,2012,188.2
60,Sant Andreu,2012,184.1
61,la Sagrera,2012,97.2
62,el Congrés i els Indians,2012,40.7
63,Navas,2012,42.3
64,el Camp de l'Arpa del Clot,2012,74.2
65,el Clot,2012,69.6
66,el Parc i la Llacuna del Poblenou,2012,111.4
67,la Vila Olímpica del Poblenou,2012,94.3
68,el Poblenou,2012,154.5
