Codi_Barri,Nom_Barri,Any,Superfície (ha)
24,les Tres Torres,2019,78.8
25,Sant Gervasi - la Bonanova,2019,223.4
26,Sant Gervasi - Galvany,2019,166.9
27,el Putxet i el Farró,2019,84.8
28,Vallcarca i els Penitents,2019,125.1
29,el Coll,2019,35.3
30,la Salut,2019,64.8
31,la Vila de Gràcia,2019,132.1
32,el Camp d'en Grassot i Gràcia Nova,2019,65.1
33,el Baix Guinardó,2019,56.2
34,Can Baró,2019,38.4
35,el Guinardó,2019,130.9
36,la Font d'en Fargues,2019,65.7
37,el Carmel,2019,94.0
38,la Teixonera,2019,33.8
39,Sant Genís dels Agudells,2019,168.1
40,Montbau,2019,205.5
41,la Vall d'Hebron,2019,74.5
42,la Clota,2019,17.8
43,Horta,2019,307.0
44,Vilapicina i la Torre Llobeta,2019,56.4
45,Porta,2019,83.7
46,el Turó de la Peira,2019,35.4
47,Can Peguera,2019,11.9
48,la Guineueta,2019,61.2
49,Canyelles,2019,79.0
50,les Roquetes,2019,64.3
51,Verdun,2019,23.7
52,la Prosperitat,2019,59.1
53,la Trinitat Nova,2019,57.7
54,Torre Baró,2019,174.2
55,Ciutat Meridiana,2019,37.7
56,Vallbona,2019,60.8
57,la Trinitat Vella,2019,80.8
58,Baró de Viver,2019,23.0
59,el Bon Pastor,2019,186.5
60,Sant Andreu,2019,186.7
61,la Sagrera,2019,98.6
62,el Congrés i els Indians,2019,40.9
63,Navas,2019,42.4
64,el Camp de l'Arpa del Clot,2019,74.1
65,el Clot,2019,69.7
66,el Parc i la Llacuna del Poblenou,2019,112.2
67,la Vila Olímpica del Poblenou,2019,92.5
68,el Poblenou,2019,156.7
69,Diagonal Mar i el Front Marítim del Poblenou,2019,120.3
70,el Besòs i el Maresme,2019,118.5
71,Provençals del Poblenou,2019,108.6
72,Sant Martí de Provençals,2019,73.4
73,la Verneda i la Pau,2019,112.7
1,el Raval,2018,110.0
2,el Barri Gòtic,2018,81.6
3,la Barceloneta,2018,108.5
4,"Sant Pere, Santa Caterina i la Ribera",2018,111.0
5,el Fort Pienc,2018,92.9
6,la Sagrada Família,2018,104.2
7,la Dreta de l'Eixample,2018,212.0
8,l'Antiga Esquerra de l'Eixample,2018,122.8
9,la Nova Esquerra de l'Eixample,2018,134.0
10,Sant Antoni,2018,80.5
11,el Poble Sec,2018,458.5
