Codi_Barri,Nom_Barri,Any,Tipus_Equipament,Indicador,Valor
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Aforament,25777
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Entrades_Venudes,12880
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Espectacles,12
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Espectadors,16023
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Funcions,140
11,el Poble Sec,2022,Sales d'arts escèniques,Aforament,66185
11,el Poble Sec,2022,Sales d'arts escèniques,Entrades_Venudes,40214
11,el Poble Sec,2022,Sales d'arts escèniques,Espectacles,18
11,el Poble Sec,2022,Sales d'arts escèniques,Espectadors,46982
11,el Poble Sec,2022,Sales d'arts escèniques,Funcions,134
5,el Fort Pienc,2022,Sales d'arts escèniques,Aforament,1774
5,el Fort Pienc,2022,Sales d'arts escèniques,Entrades_Venudes,1147
5,el Fort Pienc,2022,Sales d'arts escèniques,Espectacles,5
5,el Fort Pienc,2022,Sales d'arts escèniques,Espectadors,1482
5,el Fort Pienc,2022,Sales d'arts escèniques,Funcions,15
5,el Fort Pienc,2022,Sales d'arts escèniques,Aforament,83065
5,el Fort Pienc,2022,Sales d'arts escèniques,Entrades_Venudes,42208
5,el Fort Pienc,2022,Sales d'arts escèniques,Espectacles,10
5,el Fort Pienc,2022,Sales d'arts escèniques,Espectadors,47736
5,el Fort Pienc,2022,Sales d'arts escèniques,Funcions,112
5,el Fort Pienc,2022,Sales d'arts escèniques,Aforament,31502
5,el Fort Pienc,2022,Sales d'arts escèniques,Entrades_Venudes,14067
5,el Fort Pienc,2022,Sales d'arts escèniques,Espectacles,8
5,el Fort Pienc,2022,Sales d'arts escèniques,Espectadors,16671
5,el Fort Pienc,2022,Sales d'arts escèniques,Funcions,124
5,el Fort Pienc,2022,Sales d'arts escèniques,Aforament,26867
5,el Fort Pienc,2022,Sales d'arts escèniques,Entrades_Venudes,16546
5,el Fort Pienc,2022,Sales d'arts escèniques,Espectacles,11
5,el Fort Pienc,2022,Sales d'arts escèniques,Espectadors,19549
5,el Fort Pienc,2022,Sales d'arts escèniques,Funcions,124
1,el Raval,2022,Sales d'arts escèniques,Aforament,340429
1,el Raval,2022,Sales d'arts escèniques,Entrades_Venudes,139966
1,el Raval,2022,Sales d'arts escèniques,Espectacles,26
1,el Raval,2022,Sales d'arts escèniques,Espectadors,161170
1,el Raval,2022,Sales d'arts escèniques,Funcions,496
1,el Raval,2022,Sales d'arts escèniques,Entrades_Venudes,71480
1,el Raval,2022,Sales d'arts escèniques,Espectacles,22
1,el Raval,2022,Sales d'arts escèniques,Espectadors,77625
1,el Raval,2022,Sales d'arts escèniques,Funcions,312
1,el Raval,2022,Sales d'arts escèniques,Aforament,4822
1,el Raval,2022,Sales d'arts escèniques,Entrades_Venudes,3433
1,el Raval,2022,Sales d'arts escèniques,Espectacles,10
1,el Raval,2022,Sales d'arts escèniques,Espectadors,3863
1,el Raval,2022,Sales d'arts escèniques,Funcions,123
1,el Raval,2022,Sales d'arts escèniques,Aforament,23597
1,el Raval,2022,Sales d'arts escèniques,Entrades_Venudes,10628
1,el Raval,2022,Sales d'arts escèniques,Espectacles,27
1,el Raval,2022,Sales d'arts escèniques,Espectadors,12421
1,el Raval,2022,Sales d'arts escèniques,Funcions,232
7,la Dreta de l'Eixample,2022,Sales d'arts escèniques,Aforament,382701
7,la Dreta de l'Eixample,2022,Sales d'arts escèniques,Entrades_Venudes,177720
7,la Dreta de l'Eixample,2022,Sales d'arts escèniques,Espectacles,13
7,la Dreta de l'Eixample,2022,Sales d'arts escèniques,Espectadors,189980
7,la Dreta de l'Eixample,2022,Sales d'arts escèniques,Funcions,283
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Aforament,33263
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Entrades_Venudes,15949
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Espectacles,28
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Espectadors,16591
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Funcions,461
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Aforament,176941
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Entrades_Venudes,86678
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Espectacles,10
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Espectadors,88513
31,la Vila de Gràcia,2022,Sales d'arts escèniques,Funcions,506
4,"Sant Pere, Santa Caterina i la Ribera",2021,Arts escèniques,Aforament,8203
4,"Sant Pere, Santa Caterina i la Ribera",2021,Arts escèniques,Entrades_Venudes,6072
4,"Sant Pere, Santa Caterina i la Ribera",2021,Arts escèniques,Espectacles,39
4,"Sant Pere, Santa Caterina i la Ribera",2021,Arts escèniques,Espectadors,6876
4,"Sant Pere, Santa Caterina i la Ribera",2021,Arts escèniques,Funcions,175
9,la Nova Esquerra de l'Eixample,2021,Arts escèniques,Aforament,71525
9,la Nova Esquerra de l'Eixample,2021,Arts escèniques,Entrades_Venudes,20377
9,la Nova Esquerra de l'Eixample,2021,Arts escèniques,Espectacles,22
9,la Nova Esquerra de l'Eixample,2021,Arts escèniques,Espectadors,24970
9,la Nova Esquerra de l'Eixample,2021,Arts escèniques,Funcions,295
8,l'Antiga Esquerra de l'Eixample,2021,Arts escèniques,Aforament,6334
8,l'Antiga Esquerra de l'Eixample,2021,Arts escèniques,Entrades_Venudes,2526
8,l'Antiga Esquerra de l'Eixample,2021,Arts escèniques,Espectacles,1
8,l'Antiga Esquerra de l'Eixample,2021,Arts escèniques,Espectadors,2762
8,l'Antiga Esquerra de l'Eixample,2021,Arts escèniques,Funcions,18
1,el Raval,2021,Arts escèniques,Aforament,5191
1,el Raval,2021,Arts escèniques,Entrades_Venudes,3033
1,el Raval,2021,Arts escèniques,Espectacles,12
1,el Raval,2021,Arts escèniques,Espectadors,3445
1,el Raval,2021,Arts escèniques,Funcions,88
1,el Raval,2021,Arts escèniques,Aforament,95491
1,el Raval,2021,Arts escèniques,Entrades_Venudes,61598
1,el Raval,2021,Arts escèniques,Espectacles,25
1,el Raval,2021,Arts escèniques,Espectadors,63742
1,el Raval,2021,Arts escèniques,Funcions,160
1,el Raval,2021,Arts escèniques,Aforament,32474
1,el Raval,2021,Arts escèniques,Entrades_Venudes,27650
1,el Raval,2021,Arts escèniques,Espectacles,6
1,el Raval,2021,Arts escèniques,Espectadors,29691
1,el Raval,2021,Arts escèniques,Funcions,192
31,la Vila de Gràcia,2021,Arts escèniques,Aforament,8088
31,la Vila de Gràcia,2021,Arts escèniques,Entrades_Venudes,5061
31,la Vila de Gràcia,2021,Arts escèniques,Espectacles,2
31,la Vila de Gràcia,2021,Arts escèniques,Espectadors,5227
31,la Vila de Gràcia,2021,Arts escèniques,Funcions,29
2,el Barri Gòtic,2021,Arts escèniques,Aforament,0
2,el Barri Gòtic,2021,Arts escèniques,Entrades_Venudes,0
2,el Barri Gòtic,2021,Arts escèniques,Espectacles,0
2,el Barri Gòtic,2021,Arts escèniques,Espectadors,0
2,el Barri Gòtic,2021,Arts escèniques,Funcions,0
2,el Barri Gòtic,2021,Arts escèniques,Aforament,0
2,el Barri Gòtic,2021,Arts escèniques,Entrades_Venudes,0
2,el Barri Gòtic,2021,Arts escèniques,Espectacles,0
2,el Barri Gòtic,2021,Arts escèniques,Espectadors,0
2,el Barri Gòtic,2021,Arts escèniques,Funcions,0
7,la Dreta de l'Eixample,2021,Arts escèniques,Aforament,209393
7,la Dreta de l'Eixample,2021,Arts escèniques,Entrades_Venudes,111072
7,la Dreta de l'Eixample,2021,Arts escèniques,Espectacles,36
7,la Dreta de l'Eixample,2021,Arts escèniques,Espectadors,114001
7,la Dreta de l'Eixample,2021,Arts escèniques,Funcions,228
11,el Poble Sec,2021,Arts escèniques,Aforament,1547
11,el Poble Sec,2021,Arts escèniques,Entrades_Venudes,935
11,el Poble Sec,2021,Arts escèniques,Espectacles,6
11,el Poble Sec,2021,Arts escèniques,Espectadors,1266
11,el Poble Sec,2021,Arts escèniques,Funcions,33
8,l'Antiga Esquerra de l'Eixample,2021,Arts escèniques,Aforament,82901
8,l'Antiga Esquerra de l'Eixample,2021,Arts escèniques,Entrades_Venudes,49234
8,l'Antiga Esquerra de l'Eixample,2021,Arts escèniques,Espectacles,20
8,l'Antiga Esquerra de l'Eixample,2021,Arts escèniques,Espectadors,55082
8,l'Antiga Esquerra de l'Eixample,2021,Arts escèniques,Funcions,417
2,el Barri Gòtic,2021,Arts escèniques,Aforament,8023
2,el Barri Gòtic,2021,Arts escèniques,Entrades_Venudes,6323
2,el Barri Gòtic,2021,Arts escèniques,Espectacles,17
2,el Barri Gòtic,2021,Arts escèniques,Espectadors,6932
2,el Barri Gòtic,2021,Arts escèniques,Funcions,255
11,el Poble Sec,2021,Arts escèniques,Aforament,275958
11,el Poble Sec,2021,Arts escèniques,Entrades_Venudes,218659
11,el Poble Sec,2021,Arts escèniques,Espectacles,7
11,el Poble Sec,2021,Arts escèniques,Espectadors,229568
11,el Poble Sec,2021,Arts escèniques,Funcions,347
4,"Sant Pere, Santa Caterina i la Ribera",2021,Arts escèniques,Aforament,11718
31,la Vila de Gràcia,2021,Arts escèniques,Espectacles,27
4,"Sant Pere, Santa Caterina i la Ribera",2021,Arts escèniques,Entrades_Venudes,6410
4,"Sant Pere, Santa Caterina i la Ribera",2021,Arts escèniques,Espectacles,20
4,"Sant Pere, Santa Caterina i la Ribera",2021,Arts escèniques,Espectadors,8301
4,"Sant Pere, Santa Caterina i la Ribera",2021,Arts escèniques,Funcions,249
31,la Vila de Gràcia,2021,Arts escèniques,Aforament,14265
31,la Vila de Gràcia,2021,Arts escèniques,Entrades_Venudes,6930
31,la Vila de Gràcia,2021,Arts escèniques,Espectacles,40
31,la Vila de Gràcia,2021,Arts escèniques,Espectadors,7931
31,la Vila de Gràcia,2021,Arts escèniques,Funcions,171
1,el Raval,2021,Arts escèniques,Aforament,197562
1,el Raval,2021,Arts escèniques,Entrades_Venudes,141267
1,el Raval,2021,Arts escèniques,Espectacles,40
1,el Raval,2021,Arts escèniques,Espectadors,160867
1,el Raval,2021,Arts escèniques,Funcions,151
11,el Poble Sec,2021,Arts escèniques,Aforament,975
11,el Poble Sec,2021,Arts escèniques,Entrades_Venudes,784
11,el Poble Sec,2021,Arts escèniques,Espectacles,4
11,el Poble Sec,2021,Arts escèniques,Espectadors,784
11,el Poble Sec,2021,Arts escèniques,Funcions,13
31,la Vila de Gràcia,2021,Arts escèniques,Aforament,45360
31,la Vila de Gràcia,2021,Arts escèniques,Entrades_Venudes,25295
31,la Vila de Gràcia,2021,Arts escèniques,Espectacles,23
31,la Vila de Gràcia,2021,Arts escèniques,Espectadors,27486
31,la Vila de Gràcia,2021,Arts escèniques,Funcions,273
31,la Vila de Gràcia,2021,Arts escèniques,Aforament,8990
31,la Vila de Gràcia,2021,Arts escèniques,Entrades_Venudes,5813
31,la Vila de Gràcia,2021,Arts escèniques,Espectadors,5970
31,la Vila de Gràcia,2021,Arts escèniques,Funcions,237
31,la Vila de Gràcia,2021,Arts escèniques,Aforament,6166
