CODI_BARRI,NOM_BARRI,DATA_EXPLO,TAULES
8.0,l'Antiga Esquerra de l'Eixample,2024-02-07T00:00:00,5
26.0,Sant Gervasi - Galvany,2024-02-07T00:00:00,8
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,2
2.0,el Barri Gòtic,2024-02-07T00:00:00,4
1.0,el Raval,2024-02-07T00:00:00,6
1.0,el Raval,2024-02-07T00:00:00,6
67.0,la Vila Olímpica del Poblenou,2024-02-07T00:00:00,6
6.0,la Sagrada Família,2024-02-07T00:00:00,4
5.0,el Fort Pienc,2024-02-07T00:00:00,4
26.0,Sant Gervasi - Galvany,2024-02-07T00:00:00,14
26.0,Sant Gervasi - Galvany,2024-02-07T00:00:00,4
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,2
6.0,la Sagrada Família,2024-02-07T00:00:00,5
6.0,la Sagrada Família,2024-02-07T00:00:00,8
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,3
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,12
26.0,Sant Gervasi - Galvany,2024-02-07T00:00:00,10
26.0,Sant Gervasi - Galvany,2024-02-07T00:00:00,8
26.0,Sant Gervasi - Galvany,2024-02-07T00:00:00,5
19.0,les Corts,2024-02-07T00:00:00,16
6.0,la Sagrada Família,2024-02-07T00:00:00,2
25.0,Sant Gervasi - la Bonanova,2024-02-07T00:00:00,2
25.0,Sant Gervasi - la Bonanova,2024-02-07T00:00:00,1
26.0,Sant Gervasi - Galvany,2024-02-07T00:00:00,3
27.0,el Putxet i el Farró,2024-02-07T00:00:00,4
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,4
1.0,el Raval,2024-02-07T00:00:00,6
18.0,Sants,2024-02-07T00:00:00,8
25.0,Sant Gervasi - la Bonanova,2024-02-07T00:00:00,3
25.0,Sant Gervasi - la Bonanova,2024-02-07T00:00:00,2
6.0,la Sagrada Família,2024-02-07T00:00:00,6
25.0,Sant Gervasi - la Bonanova,2024-02-07T00:00:00,2
26.0,Sant Gervasi - Galvany,2024-02-07T00:00:00,18
69.0,Diagonal Mar i el Front Marítim del Poblenou,2024-02-07T00:00:00,5
26.0,Sant Gervasi - Galvany,2024-02-07T00:00:00,6
60.0,Sant Andreu,2024-02-07T00:00:00,10
52.0,la Prosperitat,2024-02-07T00:00:00,6
71.0,Provençals del Poblenou,2024-02-07T00:00:00,2
9.0,la Nova Esquerra de l'Eixample,2024-02-07T00:00:00,3
32.0,el Camp d'en Grassot i Gràcia Nova,2024-02-07T00:00:00,10
60.0,Sant Andreu,2024-02-07T00:00:00,12
48.0,la Guineueta,2024-02-07T00:00:00,4
5.0,el Fort Pienc,2024-02-07T00:00:00,4
31.0,la Vila de Gràcia,2024-02-07T00:00:00,5
43.0,Horta,2024-02-07T00:00:00,4
59.0,el Bon Pastor,2024-02-07T00:00:00,6
19.0,les Corts,2024-02-07T00:00:00,5
31.0,la Vila de Gràcia,2024-02-07T00:00:00,5
26.0,Sant Gervasi - Galvany,2024-02-07T00:00:00,4
26.0,Sant Gervasi - Galvany,2024-02-07T00:00:00,5
1.0,el Raval,2024-02-07T00:00:00,4
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,3
26.0,Sant Gervasi - Galvany,2024-02-07T00:00:00,8
27.0,el Putxet i el Farró,2024-02-07T00:00:00,6
62.0,el Congrés i els Indians,2024-02-07T00:00:00,3
19.0,les Corts,2024-02-07T00:00:00,9
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,12
7.0,la Dreta de l'Eixample,2024-02-07T00:00:00,4
6.0,la Sagrada Família,2024-02-07T00:00:00,4
23.0,Sarrià,2024-02-07T00:00:00,8
33.0,el Baix Guinardó,2024-02-07T00:00:00,5
6.0,la Sagrada Família,2024-02-07T00:00:00,3
34.0,Can Baró,2024-02-07T00:00:00,2
23.0,Sarrià,2024-02-07T00:00:00,2
19.0,les Corts,2024-02-07T00:00:00,2
66.0,el Parc i la Llacuna del Poblenou,2024-02-07T00:00:00,7
69.0,Diagonal Mar i el Front Marítim del Poblenou,2024-02-07T00:00:00,8
6.0,la Sagrada Família,2024-02-07T00:00:00,2
44.0,Vilapicina i la Torre Llobeta,2024-02-07T00:00:00,6
19.0,les Corts,2024-02-07T00:00:00,3
48.0,la Guineueta,2024-02-07T00:00:00,2
