Latitud,Titularitat,Codi_Districte,Tipus_Us,Notes_Equipament,Nom_Districte,Notes_Dades,Nom_Barri,Indicador,Tipus_Equipament,Nom_Equipament,Valor,Codi_Barri,Ambit,_id,Any,Longitud,TipusGeneral,TipusEquipament,Equipament
41.383883057,Consorci o fundació amb presència administracions públiques,1,Centres d'exposicions,,Ciutat Vella,,el Raval,Visitants,Centres d'exposicions,Centre de Cultura Contemporània de Barcelona. CCCB,338500,1,Arts visuals,21,2023,2.166795152,,,
41.383883057,Consorci o fundació amb presència administracions públiques,1,Centres d'exposicions,,Ciutat Vella,,el Raval,Visites_Exposicions_Temporals,Centres d'exposicions,Centre de Cultura Contemporània de Barcelona. CCCB,218862,1,Arts visuals,22,2023,2.166795152,,,
41.413267367,Titularitat privada,5,Centres patrimonials,,Sarrià-Sant Gervasi,,Sant Gervasi - la Bonanova,Fons_Colleccio,Museus i col·leccions,CosmoCaixa,8234,25,Ciència,23,2023,2.130658424,,,
41.413267367,Titularitat privada,5,Centres patrimonials,,Sarrià-Sant Gervasi,,Sant Gervasi - la Bonanova,Num_Exposicions_Temporals,Museus i col·leccions,CosmoCaixa,4,25,Ciència,24,2023,2.130658424,,,
41.413267367,Titularitat privada,5,Centres patrimonials,,Sarrià-Sant Gervasi,,Sant Gervasi - la Bonanova,Visitants,Museus i col·leccions,CosmoCaixa,1266989,25,Ciència,25,2023,2.130658424,,,
41.413267367,Titularitat privada,5,Centres patrimonials,,Sarrià-Sant Gervasi,,Sant Gervasi - la Bonanova,Visites_Exposicions_Temporals,Museus i col·leccions,CosmoCaixa,357114,25,Ciència,26,2023,2.130658424,,,
41.402807184501505,Ajuntament de Barcelona,10,Centres d'exposicions,,Sant Martí,,el Parc i la Llacuna del Poblenou,Num_Exposicions_Temporals,Centres d'exposicions,Disseny Hub Barcelona (+),2,66,Multidisciplinaris i altres,27,2023,2.187759434220152,,,
41.402807184501505,Ajuntament de Barcelona,10,Centres d'exposicions,,Sant Martí,"Disseny Hub Barcelona (+): durant el període 2021-2023, el públic de les activitats no relacionades únicament amb el Museu es va recollir de manera separada. ",el Parc i la Llacuna del Poblenou,Visitants,Centres d'exposicions,Disseny Hub Barcelona (+),120111,66,Multidisciplinaris i altres,28,2023,2.187759434220152,,,
41.402807184501505,Ajuntament de Barcelona,10,Centres d'exposicions,,Sant Martí,,el Parc i la Llacuna del Poblenou,Visites_Exposicions_Temporals,Centres d'exposicions,Disseny Hub Barcelona (+),62236,66,Multidisciplinaris i altres,29,2023,2.187759434220152,,,
41.4025295461622,Ajuntament de Barcelona,10,Centres patrimonials,"2/12/2008: el Museu de les Arts Decoratives, el Museu Tèxtil i el Museu de Ceràmica es van constituir com el nou Disseny Hub Barcelona; 2009-2012: el Disseny Hub Barcelona va desenvolupar la seva activitat a les seus del carrer Montcada i del Palau de Pedralbes; 2012: les seus de Montcada i Pedralbes van tancar per preparar trasllat a un nou edifici a la plaça de les Glòries; 13/12/2014: s'inaugura el Disseny Hub Barcelona - Museu del Disseny al nou edifici de la plaça de les Glòries; 2024: el DHub es posiciona com el centre neuràlgic del disseny, l¿arquitectura, l¿audiovisual, la tecnologia, el videojoc i la innovació i és la seu del Museu del Disseny de Barcelona.",Sant Martí,,el Parc i la Llacuna del Poblenou,Fons_Colleccio,Centres d'exposicions,Disseny Hub Barcelona. DHub,82115,66,Arts visuals,30,2023,2.1880652060461467,,,
41.4025295461622,Ajuntament de Barcelona,10,Centres patrimonials,"2/12/2008: el Museu de les Arts Decoratives, el Museu Tèxtil i el Museu de Ceràmica es van constituir com el nou Disseny Hub Barcelona; 2009-2012: el Disseny Hub Barcelona va desenvolupar la seva activitat a les seus del carrer Montcada i del Palau de Pedralbes; 2012: les seus de Montcada i Pedralbes van tancar per preparar trasllat a un nou edifici a la plaça de les Glòries; 13/12/2014: s'inaugura el Disseny Hub Barcelona - Museu del Disseny al nou edifici de la plaça de les Glòries; 2024: el DHub es posiciona com el centre neuràlgic del disseny, l¿arquitectura, l¿audiovisual, la tecnologia, el videojoc i la innovació i és la seu del Museu del Disseny de Barcelona.",Sant Martí,,el Parc i la Llacuna del Poblenou,Num_Exposicions_Temporals,Centres d'exposicions,Disseny Hub Barcelona. DHub,4,66,Arts visuals,31,2023,2.1880652060461467,,,
41.4025295461622,Ajuntament de Barcelona,10,Centres patrimonials,"2/12/2008: el Museu de les Arts Decoratives, el Museu Tèxtil i el Museu de Ceràmica es van constituir com el nou Disseny Hub Barcelona; 2009-2012: el Disseny Hub Barcelona va desenvolupar la seva activitat a les seus del carrer Montcada i del Palau de Pedralbes; 2012: les seus de Montcada i Pedralbes van tancar per preparar trasllat a un nou edifici a la plaça de les Glòries; 13/12/2014: s'inaugura el Disseny Hub Barcelona - Museu del Disseny al nou edifici de la plaça de les Glòries; 2024: el DHub es posiciona com el centre neuràlgic del disseny, l¿arquitectura, l¿audiovisual, la tecnologia, el videojoc i la innovació i és la seu del Museu del Disseny de Barcelona.",Sant Martí,Canvi de nom d'aquest equipament. Anteriorment: Museu del Disseny de Barcelona.,el Parc i la Llacuna del Poblenou,Visitants,Centres d'exposicions,Disseny Hub Barcelona. DHub,117292,66,Arts visuals,32,2023,2.1880652060461467,,,
41.433762956,Ajuntament de Barcelona,9,Centres d'exposicions,,Sant Andreu,,Sant Andreu,Visitants,Centres d'exposicions,Fabra i Coats - Centre d'Art Contemporani,7182,60,Arts visuals,43,2023,2.190815632,,,
