Assistents_fora_de_Barcelona,Edicio,Titularitat,DataInici,DataFi,Assistents_a_Barcelona,Notes_Dades,Espai,Ambit,NomDelFestival,Organitzador,_id,Any,Tipus,Assistents,Nota
,7,Ajuntament de Barcelona,2023-06-28T00:00:00,2023-07-19T00:00:00,3921,,Districte de l'Eixample,Multidisciplinaris i altres,Festival Tangent,Districte de l'Eixample. Ajuntament de Barcelona,76,2023,Festivals,,
,13,Ajuntament de Barcelona,2023-06-29T00:00:00,2023-07-20T00:00:00,400,,Centre Cultural la Farinera,Multidisciplinaris i altres,Endorfines,Centre Cultural La Farinera del Clot. Ajuntament de Barcelona,77,2023,Festivals,,
,47,Ajuntament de Barcelona,2023-06-29T00:00:00,2023-08-13T00:00:00,110582,,Diversos espais de la ciutat,Multidisciplinaris i altres,Grec Festival de Barcelona,Institut de Cultura. Ajuntament de Barcelona,78,2023,Festivals,,
108,4,Titularitat privada,2023-06-29T00:00:00,2023-11-11T00:00:00,4620,,Diversos espais de la ciutat,Arts visuals,International Festival on Experimental Photography,Assoc. Experimentalphotofestival,79,2023,Festivals,,
,10,Altres administracions públiques,2023-06-29T00:00:00,2023-10-08T00:00:00,262,,Palau Güell,Música,Les nits del Palau Güell,Palau Güell,80,2023,Festivals,,
,25,Titularitat privada,2023-06-29T00:00:00,2023-09-07T00:00:00,,,Museu Can Framis,Audiovisuals,Mecal. Festival Internacional de Curtmetratges de Barcelona,Assoc.  Mecal,81,2023,Festivals,,
,4,Titularitat privada,2023-06-29T00:00:00,2023-09-21T00:00:00,2577,,Castell de Montjuïc,Música,Sala Barcelona,ASACC ,82,2023,Festivals,,
,18,Ajuntament de Barcelona,2023-06-30T00:00:00,2023-07-15T00:00:00,1382,,Barri Gòtic,Multidisciplinaris i altres,Festival d'estiu LLIMONADES,Centre Cívic Pati Llimona. Ajuntament de Barcelona,83,2023,Festivals,,
,21,Titularitat privada,2023-06-30T00:00:00,2023-04-08T00:00:00,38400,,Castell de Montjuïc,Audiovisuals,Sala Montjuïc,Assoc. Cultural Modiband,84,2023,Festivals,,
1000,58,Titularitat privada,2023-03-07T00:00:00,2023-08-07T00:00:00,2000,,Diversos espais de la ciutat,Música,Festival Internacional de Cant Coral a Barcelona,FCEC - Fed. Catalana dEntitats Corals,85,2023,Festivals,,
,8,Consorci o fundació amb presència administracions públiques,2023-03-07T00:00:00,2023-10-16T00:00:00,351,,Pavelló Mies van der Rohe,Audiovisuals,Pantalla Pavelló,Fund. Mies van der Rohe,86,2023,Festivals,,
,5,Titularitat privada,2023-04-07T00:00:00,2023-09-07T00:00:00,3300,,Diversos espais de la ciutat,Audiovisuals,La GRAN Pantalla,Assoc. Cultural elParlante,87,2023,Festivals,,
,6,Ajuntament de Barcelona,2023-04-07T00:00:00,2023-07-20T00:00:00,345,,CC Sant Agustí,Música,Zero3. Altaveu d'Accions Culturals,Centre Cívic Convent de Sant Agustí. Ajuntament de Barcelona,88,2023,Festivals,,
,13,Titularitat privada,2023-05-07T00:00:00,2023-08-07T00:00:00,76000,,Parc del Fòrum,Música,Festival Cruïlla,Barcelona Events Musicals,89,2023,Festivals,,
13100,12,Titularitat privada,2023-06-07T00:00:00,2023-10-08T00:00:00,12000,,Platja de Sant Sebastià (Barceloneta),Audiovisuals,Cinema Lliure a la Platja. Mostra de cinema independent,Mago Audiovisual Production,90,2023,Festivals,,
,4,Titularitat privada,2023-07-07T00:00:00,2023-07-14T00:00:00,59,,Horts de Can Soler,Audiovisuals,Cinema a la fresca,Observatori de Vídeo No Identificat,91,2023,Festivals,,
,21,Titularitat privada,2023-07-07T00:00:00,2023-08-07T00:00:00,7000,,Districte de Nou Barris,Música,Festival de Blues de Barcelona,Assoc. Capibola Blues,92,2023,Festivals,,
,8,Titularitat privada,2023-07-07T00:00:00,2023-07-16T00:00:00,6500,,La terrassa de Diagonal Mar,Multidisciplinaris i altres,Summer Festival,Diagonal Mar Centre Comercial,93,2023,Festivals,,
,5,Ajuntament de Barcelona,2023-10-07T00:00:00,2023-07-28T00:00:00,476,,CC del Besòs i el Maresme,Arts escèniques,La Regadora. Festivalet de clown i teatre de carrer,Centre Cívic Besòs. Ajuntament de Barcelona,94,2023,Festivals,,
,1,Titularitat privada,2023-11-07T00:00:00,2023-07-27T00:00:00,48000,Antic Festival Jardins de Pedralbes,Poble Espanyol ,Música,Alma Festival Barcelona,Concert Studio,95,2023,Festivals,,
