Latitud,Codi_Districte,Data_Instalacio,Font,Id_Instal,Nom_Districte,Codi_Carrer,Nom_Barri,ETRS89_Y,Data_DesInstalacio,Nom_Carrer,Num_Carrer,Codi_Barri,ETRS89_X,_id,Longitud,Tipus_Via
41.380128,1,2016-12-04T00:00:00,OCI,926,Ciutat Vella,112208,el Barri Gòtic,4581283.046,2017-02-03T00:00:00,Escudellers,34,2,431177.722,78,2.176933,C
41.379559,1,2016-12-04T00:00:00,OCI,928,Ciutat Vella,298004,la Barceloneta,4581208.798,2016-11-28T00:00:00,Sant Carles,27,3,432359.737,80,2.191076,C
41.405397,6,2016-05-18T00:00:00,OCI,966,Gràcia,184708,el Camp d'en Grassot i Gràcia Nova,4584095.897,2017-11-14T00:00:00,Llavallol,17,32,430418.578,81,2.167532,Ptge
41.405521,6,2016-04-18T00:00:00,OCI,1006,Gràcia,167505,la Vila de Gràcia,4584113.950,2017-01-03T00:00:00,Joanic,7,31,429973.940,82,2.162211,Pl
41.350292,3,2016-12-05T00:00:00,TRÀNSIT,1026,Sants-Montjuïc,348500,la Marina del Prat Vermell,4578000.835,,Ulldecona,27,12,428045.027,83,2.139862,C
41.352796,3,2016-12-05T00:00:00,TRÀNSIT,1027,Sants-Montjuïc,348500,la Marina del Prat Vermell,4578275.487,2022-09-06T00:00:00,Ulldecona,77,12,428388.008,84,2.143929,C
41.399699,6,2016-12-05T00:00:00,OCI,1046,Gràcia,138405,la Vila de Gràcia,4583475.629,2017-05-30T00:00:00,Gal·la Placídia,6,31,429148.436,85,2.152410,Pl
41.384925,1,2016-05-24T00:00:00,OCI,1086,Ciutat Vella,46409,"Sant Pere, Santa Caterina i la Ribera",4581811.000,2017-08-06T00:00:00,Born,19,4,431671.000,86,2.182772,Pg
41.404791,10,2016-02-06T00:00:00,OBRES,1106,Sant Martí,146902,el Clot,4584012.853,2016-08-25T00:00:00,Glòries Catalanes,19,65,432081.778,87,2.187438,Pl
41.395450,5,2016-12-05T00:00:00,OCI,1126,Sarrià-Sant Gervasi,348408,Galvany,4583003.592,2017-01-03T00:00:00,Tuset,8,26,429172.441,88,2.152753,C
41.424560,7,2016-04-18T00:00:00,TRÀNSIT,1146,Horta-Guinardó,365702,el Guinardó,4586216.460,2017-01-03T00:00:00,Mare de Déu de Montserrat,263,35,431159.822,89,2.176158,Av
41.398882,2,2016-06-17T00:00:00,TRÀNSIT,1166,L'Eixample,305100,la Dreta de l'Eixample,4583370.537,2016-06-29T00:00:00,Sant Joan,97,7,430627.176,90,2.170110,Pg
41.395867,2,2016-06-17T00:00:00,TRÀNSIT,1167,L'Eixample,305100,la Dreta de l'Eixample,4583032.698,2016-06-29T00:00:00,Sant Joan,39,7,430957.671,91,2.174102,Pg
41.394316,2,2016-06-17T00:00:00,TRÀNSIT,1168,L'Eixample,335100,la Dreta de l'Eixample,4582859.073,2016-06-29T00:00:00,Tetuan,4,7,431105.539,92,2.175891,Pl
41.393295,2,2016-06-17T00:00:00,TRÀNSIT,1169,L'Eixample,305100,el Fort Pienc,4582744.133,2016-06-29T00:00:00,Sant Joan,34,5,431265.454,93,2.177816,Pg
41.392678,2,2016-06-17T00:00:00,TRÀNSIT,1170,L'Eixample,305100,la Dreta de l'Eixample,4582675.321,2016-06-29T00:00:00,Sant Joan,15,7,431306.843,94,2.178319,Pg
41.397772,6,2016-06-17T00:00:00,TRÀNSIT,1171,Gràcia,148307,la Vila de Gràcia,4583256.978,2016-06-29T00:00:00,Gràcia,124,31,429623.234,95,2.158115,Pg
41.396968,6,2016-06-17T00:00:00,TRÀNSIT,1172,Gràcia,148307,la Vila de Gràcia,4583167.165,2016-06-29T00:00:00,Gràcia,111,31,429679.400,96,2.158797,Pg
41.392571,2,2016-06-17T00:00:00,TRÀNSIT,1173,L'Eixample,148307,la Dreta de l'Eixample,4582674.660,2016-06-29T00:00:00,Gràcia,51,7,430130.284,97,2.164247,Pg
41.390799,2,2016-06-17T00:00:00,TRÀNSIT,1174,L'Eixample,148307,la Dreta de l'Eixample,4582476.112,,Gràcia,27,7,430311.695,98,2.166440,Pg
41.389653,2,2016-06-17T00:00:00,TRÀNSIT,1175,L'Eixample,148307,la Dreta de l'Eixample,4582347.780,2016-06-29T00:00:00,Gràcia,13,7,430429.031,99,2.167858,Pg
41.398882,2,2016-06-30T00:00:00,TRÀNSIT,1186,L'Eixample,305100,la Dreta de l'Eixample,4583370.537,2017-03-15T00:00:00,Sant Joan,97,7,430627.176,100,2.170110,Pg
41.395867,2,2016-06-30T00:00:00,SUPERILLA,1187,L'Eixample,305100,la Dreta de l'Eixample,4583032.698,2021-09-30T00:00:00,Sant Joan,39,7,430957.671,101,2.174102,Pg
41.394316,2,2016-06-30T00:00:00,TRÀNSIT,1188,L'Eixample,335100,la Dreta de l'Eixample,4582859.073,2016-10-24T00:00:00,Tetuan,4,7,431105.539,102,2.175891,Pl
41.393295,2,2016-06-30T00:00:00,TRÀNSIT,1189,L'Eixample,305100,el Fort Pienc,4582744.133,,Sant Joan,34,5,431265.454,103,2.177816,Pg
41.392678,2,2016-06-30T00:00:00,TRÀNSIT,1190,L'Eixample,305100,la Dreta de l'Eixample,4582675.321,2017-03-15T00:00:00,Sant Joan,15,7,431306.843,104,2.178319,Pg
41.397772,6,2016-06-30T00:00:00,TRÀNSIT,1191,Gràcia,148307,la Vila de Gràcia,4583256.978,2017-03-13T00:00:00,Gràcia,124,31,429623.234,105,2.158115,Pg
41.396968,6,2016-06-30T00:00:00,TRÀNSIT,1192,Gràcia,148307,la Vila de Gràcia,4583167.165,,Gràcia,111,31,429679.400,106,2.158797,Pg
41.394328,2,2016-06-30T00:00:00,TRÀNSIT,1193,L'Eixample,148307,la Dreta de l'Eixample,4582871.451,,Gràcia,81,7,429950.045,107,2.162069,Pg
41.392571,2,2016-06-30T00:00:00,TRÀNSIT,1194,L'Eixample,148307,la Dreta de l'Eixample,4582674.660,2021-09-29T00:00:00,Gràcia,51,7,430130.284,108,2.164247,Pg
41.389653,2,2016-06-30T00:00:00,TRÀNSIT,1195,L'Eixample,148307,la Dreta de l'Eixample,4582347.780,2021-09-29T00:00:00,Gràcia,13,7,430429.031,109,2.167858,Pg
41.397398,2,2016-06-30T00:00:00,TRÀNSIT,1196,L'Eixample,305100,la Dreta de l'Eixample,4583204.012,,Sant Joan,82,7,430815.407,110,2.172381,Pg
41.396355,2,2016-06-30T00:00:00,SUPERILLA,1197,L'Eixample,305100,la Dreta de l'Eixample,4583087.076,2021-09-30T00:00:00,Sant Joan,60,7,430929.894,111,2.173764,Pg
41.379443,4,2016-07-13T00:00:00,SUPERILLA,1226,Les Corts,121708,la Maternitat i Sant Ramon,4581248.896,2016-10-22T00:00:00,Felipe de Paz,20,20,426901.408,112,2.125801,C
41.405017,10,2016-07-13T00:00:00,TRÀNSIT,1227,Sant Martí,701278,Diagonal Mar i el Front Marítim del Poblenou,4584018.225,2016-09-20T00:00:00,Taulat,263,69,434214.228,113,2.212947,Pg
41.395461,5,2016-07-13T00:00:00,TRÀNSIT,1228,Sarrià-Sant Gervasi,62700,Sarrià,4583034.374,2017-01-03T00:00:00,Bosch i Gimpera,28,23,426210.314,114,2.117319,C
41.384941,1,2016-07-28T00:00:00,OCI,1248,Ciutat Vella,325107,la Barceloneta,4581802.828,2016-08-11T00:00:00,Trelawny,2,3,432741.722,115,2.195578,C
41.369498,3,2016-07-28T00:00:00,OCI,1266,Sants-Montjuïc,198702,el Poble Sec,4580127.546,2016-11-28T00:00:00,Francesc Ferrer i Guàrdia,13,11,428624.886,116,2.146542,Av
41.384986,2,2016-08-17T00:00:00,TRÀNSIT,1286,L'Eixample,209300,l'Antiga Esquerra de l'Eixample,4581835.568,2017-12-20T00:00:00,Valeri Serra,18,8,429808.118,117,2.160491,Ptge
41.371966,3,2016-08-17T00:00:00,TRÀNSIT,1287,Sants-Montjuïc,189202,el Poble Sec,4580387.283,2017-01-31T00:00:00,Magalhães,29,11,430092.511,118,2.164059,C
41.371928,3,2016-08-17T00:00:00,TRÀNSIT,1288,Sants-Montjuïc,142402,la Bordeta,4580401.723,2017-01-31T00:00:00,Gavà,17,16,428181.076,119,2.141203,C
41.402754,6,2016-08-18T00:00:00,OCI,1289,Gràcia,348805,la Vila de Gràcia,4583810.119,2021-05-11T00:00:00,Revolució de Setembre 1868,3,31,429632.212,120,2.158158,Pl
